decile,n,mean_outcome,median_outcome,bin_min,bin_max,bin_mean,variable,outcome,view
7,123395,3.8144056207521753,3.9748152109771953,-0.14518357813358307,0.13159799575805664,-0.02948121167719364,active_raw_Gz,log_funding_hours,raw
8,123413,3.8101602020667142,3.906435200461708,0.1316174417734146,0.9174419641494751,0.44103366136550903,active_raw_Gz,log_funding_hours,raw
9,123413,3.0639767049337263,2.8723869218603335,0.9174476861953735,5.6463117599487305,2.6158766746520996,active_raw_Gz,log_funding_hours,raw
0,123414,0.10752523121022041,0.1632957324304592,-4.649229074870259,-0.502762742221287,-1.0368938238290324,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
1,123413,-0.03352101202158821,0.07611144396931359,-0.5027619889202374,-0.2871064350711456,-0.38095754908238016,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
2,123413,-0.041605549308570786,0.11935510843597476,-0.28710562391137234,-0.16256826963963295,-0.22064402603657168,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
3,123414,-0.021731301784068534,0.20504209771486076,-0.16256702697030495,-0.07504531547279089,-0.11653894694804623,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
4,123412,0.004096319358705723,0.2377608616418554,-0.07504524591004182,-0.002479055343336897,-0.0384791177805527,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
5,123421,-0.0010753348034695392,0.22841347335798598,-0.002478925634221612,0.06980866637416387,0.03381517930431822,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
6,123405,-0.01507015751572339,0.2107360677424349,0.06980893463970597,0.14742929946820013,0.10739725824004641,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
7,123413,-0.026175816426131145,0.20564262857757118,0.14742930610869304,0.25076221920555075,0.19544331317956684,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
8,123413,0.005611908749633894,0.23548920942581777,0.2507622948436234,0.4665212481292534,0.33792579959803715,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
9,123413,0.02194414336925313,0.08946480871653967,0.4665213047141302,4.461342799279377,1.1189457174942472,dm_active_raw_Gz,dm_log_funding_hours,FE_demeaned
0,123414,3.056404880014813,2.824144568113387,-14.37530517578125,-0.5614943504333496,-2.292717456817627,active_raw_VG,log_funding_hours,raw
1,123413,4.496123232470799,4.931806509813315,-0.561492919921875,-0.3785649240016937,-0.45119398832321167,active_raw_VG,log_funding_hours,raw
2,123413,4.45356363927565,4.878045257199166,-0.37856343388557434,-0.2870403230190277,-0.3305699825286865,active_raw_VG,log_funding_hours,raw
3,123413,4.284786948656265,4.639005161373547,-0.287038117647171,-0.21278224885463715,-0.2490597367286682,active_raw_VG,log_funding_hours,raw
4,123413,4.104791039374399,4.403009801242721,-0.21278196573257446,-0.14322689175605774,-0.17794868350028992,active_raw_VG,log_funding_hours,raw
5,123414,3.9683946332684017,4.225671269316687,-0.14322595298290253,-0.07344381511211395,-0.10800942033529282,active_raw_VG,log_funding_hours,raw
6,123412,3.9442451726079724,4.174085938610007,-0.07344363629817963,-0.0014269198291003704,-0.03823285922408104,active_raw_VG,log_funding_hours,raw
7,123413,3.8955579753106147,4.081212415498046,-0.001425311085768044,0.15291957557201385,0.056229591369628906,active_raw_VG,log_funding_hours,raw
8,123413,4.236751622474923,4.590301864955134,0.15292023122310638,0.5395956635475159,0.33095887303352356,active_raw_VG,log_funding_hours,raw
9,123413,4.344075209860881,4.6023328311679315,0.5396015644073486,6.002322673797607,0.974518358707428,active_raw_VG,log_funding_hours,raw
0,123414,-0.1954593024642955,-0.11997567568333455,-12.017544582176834,-0.4448741262828638,-1.2552658791231068,dm_active_raw_VG,dm_log_funding_hours,FE_demeaned
1,123413,-0.05306545174523441,0.21020542288277422,-0.44487028764943176,-0.2625452083099566,-0.3397960405836874,dm_active_raw_VG,dm_log_funding_hours,FE_demeaned
2,123413,-0.01211927544968571,0.2303781048964698,-0.26254500212199117,-0.1648157514328905,-0.20963438539092188,dm_active_raw_VG,dm_log_funding_hours,FE_demeaned
3,123413,0.014170486526724362,0.24839049266060856,-0.16481509556382168,-0.09092881362787958,-0.12707709761068195,dm_active_raw_VG,dm_log_funding_hours,FE_demeaned
4,123413,-0.00042649556904883365,0.20195904437157186,-0.09092810850193223,-0.022388814817358455,-0.056303691732091016,dm_active_raw_VG,dm_log_funding_hours,FE_demeaned
5,123413,-0.0037528300013177055,0.18716091878083477,-0.02238878140422217,0.04878221625509596,0.012492433365444604,dm_active_raw_VG,dm_log_funding_hours,FE_demeaned
6,123413,-0.014967896292813814,0.14876684237046145,0.04878321081706799,0.1377562588820211,0.09065102437959512,dm_active_raw_VG,dm_log_funding_hours,FE_demeaned
7,123413,-0.0042070329142313906,0.17536585392674145,0.13775663383075368,0.2746447742647549,0.20052594929282247,dm_active_raw_VG,dm_log_funding_hours,FE_demeaned
8,123413,0.06292311545025515,0.21055581706077633,0.27464481838297533,0.5659963604759803,0.3938620740917775,dm_active_raw_VG,dm_log_funding_hours,FE_demeaned
9,123413,0.20690626624176542,0.3307022595853014,0.5659967405687537,7.326597983345263,1.2905557845722195,dm_active_raw_VG,dm_log_funding_hours,FE_demeaned
