group,variable,n,pct_missing,n_unique,discreteness,min,p01,p25,p50,p75,p95,p99,max,mean,std,iqr,skew,kurtosis,mean_over_median,p99_over_p50,pct_zero,pct_negative,mode_value,mode_pct,top10_values_pct
衍生 z 与交互,Cz,1234131,0.0,4323,连续,-3.023852825164795,-2.781555652618408,-0.48958685994148254,0.3327614665031433,0.6982408165931702,1.2015758752822876,1.4191300868988037,1.7009397745132446,0.0,1.0,1.1878276765346527,-1.02870774269104,0.3258526027202606,0.0,4.2647067937639305,0.0,38.494,-2.5968854427337646,0.231,2.18
衍生 z 与交互,Hz,1234131,0.0,1106796,连续,-0.6983932256698608,-0.6480497419834137,-0.521673709154129,-0.3743090331554413,0.011574280448257923,2.0315282344818115,4.703952789306641,6.046809673309326,6.330365120987835e-09,1.0,0.533247989602387,3.043405771255493,10.2626953125,-1.6912135589201746e-08,-12.567029840696378,0.0,74.6079,-0.6983932256698608,0.006,0.02
衍生 z 与交互,Vz,1234131,0.0,925007,连续,-4.845759868621826,-2.793337368965149,-0.5501362681388855,0.35895711183547974,0.7019094824790955,1.0453832745552063,1.2690052390098558,1.8022407293319702,0.0,1.0,1.252045750617981,-1.1564128398895264,0.499966025352478,0.0,3.5352558764498783,0.0,33.4227,0.891358494758606,0.001,0.01
衍生 z 与交互,Gz,1234131,0.0,973858,连续,-0.6704912781715393,-0.6217905402183532,-0.5008903443813324,-0.36523810029029846,-0.040273040533065796,2.374000310897827,4.3404951095581055,5.6463117599487305,0.0,1.0,0.4606173038482666,2.9649736881256104,8.879131317138672,-0.0,-11.88401512905744,0.0,76.4711,3.967595338821411,0.1,0.61
衍生 z 与交互,CH,1234131,0.0,1134864,连续,-18.28466033935547,-5.512800312042236,-0.2910080701112747,-0.0724136084318161,0.18378057330846786,1.0627354383468628,1.9205253362655625,4.570896625518799,-0.15317901968955994,1.1942721605300903,0.4747886434197426,-5.008670806884766,41.653011322021484,2.115334714106834,-26.52160799408179,0.0,58.4132,3.825108528137207,0.001,0.01
衍生 z 与交互,VG,1234131,0.0,1137493,连续,-14.37530517578125,-4.185447883605957,-0.3296619802713394,-0.14322689175605774,0.04607866331934929,0.829426646232605,1.519245612621307,6.002322673797607,-0.2286042720079422,0.9875944256782532,0.3757406435906887,-3.998180866241455,29.63664436340332,1.5960988136033711,-10.607265116168737,0.0,70.2745,0.3105216920375824,0.001,0.01
衍生 z 与交互,Cz_res,1234131,0.0,4323,连续,-2.9990742206573486,-2.757607936859131,-0.47349971532821655,0.34602832794189453,0.7102542519569397,1.2118630409240723,1.42867112159729,1.7095143795013428,0.01440808828920126,0.9965704679489136,1.1837539672851562,-1.02870774269104,0.32585257291793823,0.04163846461617062,4.128769254513735,0.0,38.0271,-2.57357120513916,0.231,2.18
衍生 z 与交互,Hz_res,1149206,6.8814,1035331,连续,-0.6041086912155151,-0.5712261855602264,-0.4480896219611168,-0.3508777916431427,-0.05890902038663626,1.9042794704437256,5.160151529312121,7.155130386352539,-6.79817180326836e-09,1.0,0.38918060157448053,3.7305259704589844,15.750581741333008,1.9374756582435354e-08,-14.706406766718965,0.0,77.1154,-0.6041086912155151,0.132,0.14
衍生 z 与交互,Vz_res,1234131,0.0,924800,连续,-4.774810791015625,-2.748040175437927,-0.5328751802444458,0.364856094121933,0.7035220861434937,1.042703092098236,1.2635301470756517,1.7901010513305664,0.010385318659245968,0.9875016808509827,1.2363972663879395,-1.1564128398895264,0.499966025352478,0.028464150185676353,3.4630917981964324,0.0,33.1273,0.8906033635139465,0.001,0.01
衍生 z 与交互,Gz_res,1149206,6.8814,920332,连续,-0.5694139003753662,-0.5433491468429565,-0.4285593181848526,-0.34419068694114685,-0.13252266496419907,2.4034945964813232,4.645990371704102,6.537461757659912,0.0,1.0,0.29603665322065353,3.425748586654663,12.185358047485352,-0.0,-13.498303550841047,0.0,80.4287,4.645990371704102,0.107,0.7
衍生 z 与交互,CH_res,1149206,6.8814,1057919,连续,-21.45876693725586,-4.744017481803894,-0.2917630970478058,-0.10817666724324226,0.1083320751786232,0.7900586426258087,1.5770979166030803,5.495859146118164,-0.19012758135795593,1.07918119430542,0.400095172226429,-5.784862518310547,60.91444778442383,1.7575655287146323,-14.578910191944379,0.0,63.0377,1.8117667436599731,0.003,0.02
衍生 z 与交互,VG_res,1149206,6.8814,1060926,连续,-16.43914794921875,-4.3984084844589235,-0.30489853769540787,-0.15064414590597153,0.013504891656339169,0.6115010380744934,1.1959298729896541,6.925776481628418,-0.25895994901657104,0.9626985192298889,0.31840342935174704,-4.627438545227051,39.402259826660156,1.719017672138469,-7.9387742935336165,0.0,73.3152,0.28110358119010925,0.001,0.01
时间与设计,fundraising_year,1234131,0.0,9,离散,2016.0,2016.0,2018.0,2020.0,2022.0,2024.0,2024.0,2024.0,2020.0949664176655,2.5361555199950967,4.0,-0.011640471756393026,-1.2290240678261122,1.0000470130780523,1.001980198019802,0.0,0.0,2021.0,12.471,100.0
时间与设计,posting_dow,1234131,0.0,7,离散,0.0,0.0,1.0,3.0,5.0,6.0,6.0,6.0,2.974189936076478,1.939597154285962,4.0,0.011504473565483243,-1.1971687794987291,0.991396645358826,2.0,13.0326,0.0,2.0,15.281,100.0
时间与设计,posting_hour,1234131,0.0,24,离散,0.0,0.0,8.0,15.0,18.0,22.0,23.0,23.0,13.117032146506327,6.816463847052384,10.0,-0.48084224169480355,-0.9543636839102616,0.8744688097670885,1.5333333333333334,3.8854,0.0,17.0,7.21,57.03
