pool_type,pool_n,formula_raw,brute_raw,abs_error_raw,formula_residual,brute_residual,abs_error_residual,check_id
active,451,0.0354509093943319,0.035450909394331896,6.938893903907228e-18,0.014358931966510752,0.014358931966510738,1.3877787807814457e-17,58
lag_weighted_35_65d,2705,0.037388970559857064,0.037388970559857,6.245004513516506e-17,0.011219648436949408,0.011219648436949387,2.0816681711721685e-17,58
posting_16d,1336,0.029045217410261934,0.029045217410261934,0.0,0.008695758119911594,0.00869575811991159,3.469446951953614e-18,58
active,1307,0.02821441910494729,0.028214419104947302,1.0408340855860843e-17,0.030861968681227137,0.030861968681227186,4.85722573273506e-17,59
lag_weighted_35_65d,4060,0.021374804083144607,0.021374804083144638,3.122502256758253e-17,0.02102262829541398,0.02102262829541398,0.0,59
posting_16d,1721,0.027135268754966243,0.027135268754966316,7.28583859910259e-17,0.02896669870521914,0.028966698705219243,1.0408340855860843e-16,59
active,125,0.1394052069069506,0.13940520690695063,2.7755575615628914e-17,0.12256155002117157,0.12256155002117157,0.0,60
lag_weighted_35_65d,271,0.14269439645897353,0.14269439645897372,1.942890293094024e-16,0.05667464232427353,0.05667464232427358,4.85722573273506e-17,60
posting_16d,173,0.11479979957649282,0.11479979957649282,0.0,0.08227438647623007,0.08227438647623007,0.0,60
active,969,0.390680951837524,0.3906809518375225,1.4988010832439613e-15,0.37351829716047374,0.3735182971604733,4.440892098500626e-16,61
lag_weighted_35_65d,2294,0.4122322090638657,0.4122322090638667,9.992007221626409e-16,0.3883733343067559,0.3883733343067564,4.996003610813204e-16,61
posting_16d,1320,0.46752288865891817,0.46752288865891956,1.3877787807814457e-15,0.44787779893132246,0.44787779893132196,4.996003610813204e-16,61
active,1475,0.053463494837373414,0.05346349483737341,6.938893903907228e-18,0.02114324291920776,0.021143242919207793,3.122502256758253e-17,62
lag_weighted_35_65d,2591,0.05460471653025486,0.05460471653025509,2.2898349882893854e-16,0.017927017915925787,0.017927017915925835,4.85722573273506e-17,62
posting_16d,2457,0.05545446979468894,0.05545446979468901,6.938893903907228e-17,0.019668578193542646,0.019668578193542664,1.734723475976807e-17,62
active,141,0.11460593538120921,0.11460593538120926,5.551115123125783e-17,0.044988767299793474,0.044988767299793474,0.0,63
lag_weighted_35_65d,474,0.09668993949377509,0.09668993949377512,2.7755575615628914e-17,0.030589765817189078,0.03058976581718907,6.938893903907228e-18,63
posting_16d,220,0.07937823346560405,0.07937823346560409,4.163336342344337e-17,0.02648766350687414,0.02648766350687416,1.734723475976807e-17,63
active,492,0.0528199327295287,0.05281993272952868,2.0816681711721685e-17,0.02608927493979602,0.02608927493979602,0.0,64
lag_weighted_35_65d,2021,0.06988951327236421,0.06988951327236431,9.71445146547012e-17,0.031798030515980034,0.03179803051598008,4.85722573273506e-17,64
posting_16d,1142,0.08889028567058364,0.08889028567058373,8.326672684688674e-17,0.045826725998153635,0.04582672599815359,4.163336342344337e-17,64
active,610,0.07652394447069771,0.07652394447069773,1.3877787807814457e-17,0.07633102436374938,0.07633102436374943,5.551115123125783e-17,65
lag_weighted_35_65d,514,0.021007818117509246,0.021007818117509246,0.0,0.025122483524169747,0.025122483524169726,2.0816681711721685e-17,65
posting_16d,974,0.05257257334647367,0.05257257334647369,2.0816681711721685e-17,0.05151793495821046,0.051517934958210526,6.938893903907228e-17,65
active,69,0.24673896501860004,0.2467389650186,5.551115123125783e-17,0.20472594659802903,0.204725946598029,2.7755575615628914e-17,66
lag_weighted_35_65d,219,0.11849435293584339,0.11849435293584337,1.3877787807814457e-17,0.0750839178129871,0.07508391781298712,2.7755575615628914e-17,66
posting_16d,201,0.17854057314481145,0.17854057314481156,1.1102230246251565e-16,0.12340530310879813,0.12340530310879815,1.3877787807814457e-17,66
active,1595,0.042103654965757346,0.042103654965757305,4.163336342344337e-17,0.036844418163658625,0.03684441816365867,4.163336342344337e-17,67
lag_weighted_35_65d,2496,0.024659770815627074,0.024659770815626956,1.1796119636642288e-16,0.023542950349931858,0.02354295034993178,7.632783294297951e-17,67
posting_16d,1721,0.04209164937908292,0.042091649379082996,7.632783294297951e-17,0.03713936506800004,0.03713936506800008,4.163336342344337e-17,67
